"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
1324,1259,970,471,443,48.55670103,45.67010309,77.04527403,-2.88659793999999
1326,552,452,248,191,54.86725664,42.25663717,81.88405797,-12.61061947
1328,2025,1568,849,638,54.14540816,40.68877551,77.43209877,-13.45663265
1330,109,70,38,29,54.28571429,41.42857143,64.22018349,-12.85714286
1332,998,713,373,304,52.3141655,42.63674614,71.44288577,-9.67741936
1334,8,6,5,1,83.33333333,16.66666667,75,-66.66666666
1336,167,141,91,44,64.53900709,31.20567376,84.43113772,-33.33333333
1338,557,472,337,99,71.39830508,20.97457627,84.73967684,-50.42372881
1340,11,11,8,2,72.72727273,18.18181818,100,-54.54545455
1342,841,652,325,299,49.84662577,45.85889571,77.52675386,-3.98773006
1344,1131,903,505,370,55.92469546,40.97452935,79.84084881,-14.95016611
1346,1919,1489,829,598,55.67494963,40.161182,77.59249609,-15.51376763
1348,190,163,117,44,71.7791411,26.99386503,85.78947368,-44.78527607
1350,1367,1067,608,407,56.98219306,38.1443299,78.05413314,-18.83786316
1352,2177,1680,880,724,52.38095238,43.0952381,77.17041801,-9.28571428
1354,337,278,164,100,58.99280576,35.97122302,82.4925816,-23.02158274
1356,1766,1290,453,780,35.11627907,60.46511628,73.04643262,25.34883721
1358,12,8,1,7,12.5,87.5,66.66666667,75
1360,875,654,313,314,47.85932722,48.01223242,74.74285714,0.152905200000006
1362,469,299,116,167,38.79598662,55.85284281,63.75266525,17.05685619
1364,318,186,24,159,12.90322581,85.48387097,58.49056604,72.58064516
1366,203,151,82,65,54.30463576,43.04635762,74.38423645,-11.25827814
1368,1,0,0,0,0,0,0,0
1370,338,240,138,97,57.5,40.41666667,71.00591716,-17.08333333
1372,156,101,27,72,26.73267327,71.28712871,64.74358974,44.55445544
1374,438,254,78,169,30.70866142,66.53543307,57.99086758,35.82677165
1376,0,0,0,0,0,0,0,0
1378,1832,1259,383,833,30.42096902,66.16362192,68.72270742,35.7426529
1380,671,500,290,193,58,38.6,74.51564829,-19.4
1382,860,642,362,259,56.38629283,40.34267913,74.65116279,-16.0436137
1384,1178,901,553,321,61.37624861,35.62708102,76.48556876,-25.74916759
1386,2236,1738,1026,639,59.03337169,36.76639816,77.72808587,-22.26697353
1388,1025,721,427,272,59.22330097,37.72538141,70.34146341,-21.49791956
1390,2108,1655,962,614,58.12688822,37.09969789,78.51043643,-21.02719033
1392,1278,1021,531,443,52.00783546,43.38883448,79.89045383,-8.61900098
1394,1192,922,522,353,56.61605206,38.28633406,77.34899329,-18.329718
2002,346,290,119,157,41.03448276,54.13793103,83.8150289,13.10344827
2004,1784,1306,320,949,24.50229709,72.66462481,73.20627803,48.16232772
2006,360,230,58,161,25.2173913,70,63.88888889,44.7826087
2008,0,0,0,0,0,0,0,0
2010,1179,969,388,563,40.04127967,58.10113519,82.18829517,18.05985552
2012,87,64,23,38,35.9375,59.375,73.56321839,23.4375
2014,1814,1517,647,844,42.64996704,55.63612393,83.62734289,12.98615689
2016,1804,1410,587,777,41.63120567,55.10638298,78.15964523,13.47517731
2018,1929,1612,778,791,48.2630273,49.06947891,83.56661483,0.806451610000003
2020,431,294,94,184,31.97278912,62.58503401,68.21345708,30.61224489
2021,329,238,47,178,19.74789916,74.78991597,72.34042553,55.04201681
2022,1441,1109,422,652,38.05229937,58.79170424,76.96044414,20.73940487
2024,1466,1162,423,706,36.40275387,60.75731497,79.2633015,24.3545611
2026,1228,924,355,536,38.41991342,58.00865801,75.24429967,19.58874459
2028,760,525,214,293,40.76190476,55.80952381,69.07894737,15.04761905
2030,984,658,151,485,22.94832827,73.70820669,66.8699187,50.75987842
2032,2,2,1,1,50,50,100,0
2034,0,0,0,0,0,0,0,0
2036,1469,1083,415,628,38.31948292,57.98707295,73.72362151,19.66759003
2038,1259,882,170,681,19.27437642,77.21088435,70.05559968,57.93650793
2040,1464,967,237,688,24.50879007,71.14788004,66.05191257,46.63908997
2041,1245,717,186,504,25.94142259,70.29288703,57.59036145,44.35146444
2042,0,0,0,0,0,0,0,0
2044,1869,1192,271,873,22.73489933,73.23825503,63.77742108,50.5033557
2046,883,624,219,380,35.09615385,60.8974359,70.66817667,25.80128205
2048,5,2,1,1,50,50,40,0
2050,57,35,19,13,54.28571429,37.14285714,61.40350877,-17.14285715
2052,921,679,148,500,21.79675994,73.6377025,73.72421281,51.84094256
2054,2019,1449,326,1076,22.49827467,74.25810904,71.76820208,51.75983437
2056,1378,772,214,530,27.72020725,68.65284974,56.02322206,40.93264249
2058,13,1,1,0,100,0,7.692307692,-100
2060,831,489,184,293,37.62781186,59.91820041,58.84476534,22.29038855
2062,24,14,4,9,28.57142857,64.28571429,58.33333333,35.71428572
2064,3,2,1,1,50,50,66.66666667,0
2066,332,243,66,155,27.16049383,63.78600823,73.19277108,36.6255144
2068,967,660,192,429,29.09090909,65,68.25232678,35.90909091
2070,1319,962,344,561,35.75883576,58.31600832,72.93404094,22.55717256
2072,1248,780,231,496,29.61538462,63.58974359,62.5,33.97435897
2074,0,0,0,0,0,0,0,0
2076,421,273,116,129,42.49084249,47.25274725,64.8456057,4.76190475999999
2078,1364,1088,512,529,47.05882353,48.62132353,79.76539589,1.5625
2080,403,340,165,162,48.52941176,47.64705882,84.36724566,-0.882352940000004
2081,164,138,82,48,59.42028986,34.7826087,84.14634146,-24.63768116
2082,543,411,261,133,63.50364964,32.36009732,75.69060773,-31.14355232
2083,41,30,18,8,60,26.66666667,73.17073171,-33.33333333
2084,551,416,116,285,27.88461538,68.50961538,75.49909256,40.625
2085,1,0,0,0,0,0,0,0
2086,2505,1804,582,1150,32.2616408,63.74722838,72.01596806,31.48558758
2087,0,0,0,0,0,0,0,0
2088,1843,1287,500,720,38.85003885,55.94405594,69.83179598,17.09401709
2090,0,0,0,0,0,0,0,0
2092,13,9,8,1,88.88888889,11.11111111,69.23076923,-77.77777778
2094,610,432,72,339,16.66666667,78.47222222,70.81967213,61.80555555
2096,509,261,61,190,23.37164751,72.79693487,51.27701375,49.42528736
2097,508,319,118,188,36.99059561,58.93416928,62.79527559,21.94357367
2098,954,605,185,398,30.5785124,65.78512397,63.41719078,35.20661157
2100,1620,1042,253,739,24.28023033,70.92130518,64.32098765,46.64107485
2102,2051,1412,309,1050,21.88385269,74.36260623,68.84446611,52.47875354
2104,1065,644,181,438,28.10559006,68.01242236,60.46948357,39.9068323
2106,1360,829,259,538,31.2424608,64.89746683,60.95588235,33.65500603
2108,1661,982,249,684,25.35641548,69.65376782,59.12101144,44.29735234
2110,398,259,85,165,32.81853282,63.70656371,65.07537688,30.88803089
2112,17,15,11,4,73.33333333,26.66666667,88.23529412,-46.66666666
2114,882,576,234,319,40.625,55.38194444,65.30612245,14.75694444
2115,174,97,41,52,42.26804124,53.60824742,55.74712644,11.34020618
2116,2006,1387,527,773,37.99567412,55.73179524,69.14257228,17.73612112
2117,0,0,0,0,0,0,0,0
2118,0,0,0,0,0,0,0,0
2120,128,97,20,75,20.6185567,77.31958763,75.78125,56.70103093
2122,1,0,0,0,0,0,0,0
2124,46,9,2,7,22.22222222,77.77777778,19.56521739,55.55555556
2125,960,669,310,330,46.33781764,49.32735426,69.6875,2.98953662
2126,718,561,271,253,48.30659537,45.09803922,78.13370474,-3.20855614999999
2127,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,0,0
2130,139,108,59,40,54.62962963,37.03703704,77.69784173,-17.59259259
2132,71,52,28,21,53.84615385,40.38461538,73.23943662,-13.46153847
2134,1194,742,260,451,35.04043127,60.78167116,62.1440536,25.74123989
2136,1595,976,334,584,34.22131148,59.83606557,61.19122257,25.61475409
2138,714,427,131,271,30.67915691,63.46604215,59.80392157,32.78688524
2140,1456,1074,417,594,38.82681564,55.30726257,73.76373626,16.48044693
2142,832,670,337,304,50.29850746,45.37313433,80.52884615,-4.92537313
2144,1014,847,389,417,45.92680047,49.2325856,83.53057199,3.30578513
2146,1518,1264,639,587,50.55379747,46.43987342,83.26745718,-4.11392404999999
2148,0,0,0,0,0,0,0,0
2150,2197,1668,602,1033,36.0911271,61.93045564,75.92171142,25.83932854
2152,2329,1659,516,1088,31.10307414,65.58167571,71.23228854,34.47860157
